query,site,type,notes,top_1,top_1_score,top_2,top_2_score,top_3,top_3_score,top_4,top_4_score,top_5,top_5_score,latency_ms,total_results,normalized_query,numeric_filters,judgement
ма,Store A,open,Mobile keystroke for butter/oil,Энергетический напиток маракуйя «Volt» 500мл,3.38,Масло подсолнечное premium «Южное» 900мл,3.38,Мармелад жевательный mix «KidsBox» 150г,3.38,Масло сливочное безлактозное «Teos» 1кг,3.38,Масло подсолнечное premium «Helio» 10000мл,3.38,40.64,107,ма,{},✅ RELEVANT
йогурт гр,Store A,open,Partial multi-word,Йогурт греческий черника «Mediterran» 140г,9.92,Йогурт греческий натуральный «Mykonos» 900г,9.92,Йогурт греческий черника «Mediterran» 140г,9.92,Йогурт греческий персик «Mediterran» 900г,9.92,Йогурт греческий персик «Teos» 900г,9.92,26.84,63,йогурт гр,{},✅ RELEVANT
bon pa,Store A,open,Foreign brand transliteration,Мармелад жевательный ягодный «Bon Paris» 75г,13.06,Шоколад премиальный молочный «Bon Paris» 90г,13.06,Мармелад жевательный sour «Bon Paris» 150г,13.06,Мармелад жевательный sour «Bon Paris» 90г,13.06,Шоколад премиальный 70% «Bon Paris» 90г,13.06,11.71,40,bon pa,{},✅ RELEVANT
холс,Store B,open,Brand typed in Cyrillic,,,,,,,,,,,7.33,0,холс,{},❌ NO_RESULTS
крем для рук,Store B,open,Full phrase but should tolerate prefixes,Крем для рук антибактериальный «Atelier Skin» 50мл,13.42,Крем для рук коллаген «Atelier Skin» 50мл,13.42,Крем для рук коллаген «Herbal Line» 100мл,13.42,Крем для рук витамин Е «Nordic Care» 75мл,13.42,Крем для рук питательный «Care&Go» 100мл,13.42,14.64,175,крем для рук,{},✅ RELEVANT
масло раст 10л,Store C,open,B2B volume intent,Масло подсолнечное premium «Южное» 900мл,6.2,Масло подсолнечное premium «Helio» 10000мл,6.2,Масло подсолнечное premium «Helio» 500мл,6.2,Масло подсолнечное для HoReCa «ChefPro» 3000мл,6.2,Масло подсолнечное рафинированное «Helio» 900мл,6.2,11.25,67,масло раст 10л,{},✅ RELEVANT
кар тофель,Store D,open,Broken spacing,Шоколад премиальный с карамелью «Nordic Choco» 200г,8.88,Шоколад премиальный с карамелью «Nordic Choco» 80г,8.88,,,,,,,9.4,2,кар тофель,{},✅ RELEVANT
xfq,Store E,open,Wrong keyboard layout for чай,Чай листовой чёрный «Samokat» 90г,3.96,Чай листовой матча «Ahmad» 75г,3.96,Чай листовой улун «Ahmad» 250г,3.96,Чай листовой жасмин «Greenfield» 250г,3.96,Чай листовой жасмин «Greenfield» 75г,3.96,8.85,19,xfq,{},✅ RELEVANT
adapter usb c,Store E,open,English technical query,Адаптер USB-C 35W «TechNode» 1шт,9.12,Адаптер USB-C 65W «ChargeLab» 1шт,9.12,Адаптер USB-C gan «VoltEdge» 1шт,9.12,Адаптер USB-C gan «TechNode» 1шт,9.12,Адаптер USB-C travel «TechNode» 1шт,9.12,11.43,49,adapter usb c,{},✅ RELEVANT
pr,Store F,open,Wine prefix (prosecco/premium),Зубная паста fresh mint «ProDent» 75мл,5.45,Зубная паста sensitive «ProDent» 75мл,5.45,Филе грудки индейки в маринаде «ProteinPro» 700г,5.45,Филе грудки индейки для стейков «ProteinPro» 700г,5.45,Филе грудки индейки охлажденное «ProteinPro» 5кг,5.45,9.71,70,pr,{},✅ RELEVANT
riesling mos,Store F,open,Region-specific wine,Вино игристое riesling mosel «Rieslinghaus» 750мл,15.92,Вино игристое riesling mosel «Rieslinghaus» 1500мл,15.92,Вино игристое riesling mosel «Mosel Craft» 1500мл,15.66,Вино игристое riesling mosel «Mosel Craft» 750мл,15.66,Вино игристое riesling mosel «Premium Cellar» 750мл,14.21,10.54,19,riesling mos,{},✅ RELEVANT
памперсы 3,Store D,open,Size constraint,Подгузники детские premium «Huggsy» 26шт,4.36,Подгузники детские для чувствительной кожи «Huggsy» 60шт,4.36,Подгузники детские premium «EcoBaby» 40шт,4.36,Подгузники детские для чувствительной кожи «Huggsy» 40шт,4.36,Подгузники детские для чувствительной кожи «BabySoft» 96шт,4.36,8.41,17,памперсы 3,{},✅ RELEVANT
масло сл,Store A,open,Two-letter stop,Масло сливочное безлактозное «Teos» 1кг,10.04,Масло сливочное премиум «Teos» 200г,10.04,Масло сливочное безлактозное «Teos» 1кг,10.04,Масло сливочное безлактозное «Teos» 1кг,10.04,Масло сливочное фермерское «Teos» 225г,10.04,11.14,67,масло сл,{},✅ RELEVANT
филе инд,Store A,open,Protein intent,Филе грудки индейки HoReCa «FarmLine» 5кг,11.69,Филе грудки индейки в маринаде «ProteinPro» 700г,11.69,Филе грудки индейки охлажденное «ProteinPro» 5кг,11.69,Филе грудки индейки HoReCa «FarmLine» 700г,11.69,Филе грудки индейки HoReCa «ProteinPro» 700г,11.69,9.92,21,филе инд,{},✅ RELEVANT
teos,Store A,open,Brand prefix,Масло сливочное безлактозное «Teos» 1кг,6.9,Йогурт греческий персик «Teos» 900г,6.9,Йогурт греческий черника «Teos» 140г,6.9,Масло сливочное премиум «Teos» 200г,6.9,Масло сливочное безлактозное «Teos» 1кг,6.9,8.34,11,teos,{},✅ RELEVANT
греч не,Store C,open,Cyrillic split,Масло подсолнечное нерафинированное «Golden Field» 500мл,7.46,Минеральная вода негазированная «Arctic Light» 500мл,7.46,Минеральная вода негазированная «Aqua Pura» 1000мл,7.46,Минеральная вода негазированная «Samokat Springs» 500мл,7.46,Минеральная вода негазированная «Arctic Light» 1000мл,7.46,9.09,47,греч не,{},✅ RELEVANT
prosecco ro,Store F,open,Latin multi-word,Вино игристое rose «Prosecco Alto» 1500мл,12.38,Вино игристое prosecco «Prosecco Alto» 1500мл,8.67,Вино игристое prosecco «Prosecco Alto» 750мл,8.67,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,7.4,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,7.4,8.52,47,prosecco ro,{},✅ RELEVANT
джин то,Store F,open,Cocktail ingredient,Лапша быстрого приготовления том ям «NoodleLab» 100г,6.92,Лапша быстрого приготовления том ям «StreetWok» 75г,6.92,Лапша быстрого приготовления том ям «NoodleLab» 100г,6.92,Лапша быстрого приготовления том ям «StreetWok» 75г,6.92,Лапша быстрого приготовления том ям «AsiaBox» 100г,6.92,9.07,169,джин то,{},✅ RELEVANT
хозяйст мыло,Store D,open,Household goods,Батарейки AA alkaline «VoltEdge» 4шт,3.25,Пакеты для мусора 60л «StrongHold» 30шт,3.25,Полотенца бумажные эко «MaxiRoll» 2шт,3.25,Полотенца бумажные mega roll «MaxiRoll» 6шт,3.25,Полотенца бумажные mega roll «MaxiRoll» 6шт,3.25,11.98,111,хозяйст мыло,{},✅ RELEVANT
power bank 20,Store E,open,Numeric suffix,Power Bank 20000mAh «PowerStack» 1шт,16.38,Power Bank 20000mAh «HyperCell» 1шт,15.38,Power Bank 20000mAh «VoltEdge» 1шт,15.38,Power Bank slim «PowerStack» 1шт,12.26,Power Bank slim «HyperCell» 1шт,11.25,9.85,89,power bank 20,{},✅ RELEVANT
сыр гауда,Store C,open,Category + brand,Сыр гауда кусок «ChefPro» 2кг,10.82,Сыр гауда кусок «Dutch Yard» 200г,10.6,Сыр гауда кусок «Nordic Cheese» 5кг,10.6,Сыр гауда выдержанный «Cheese&Co» 500г,10.6,Сыр гауда кусок «Dutch Yard» 1кг,10.6,10.0,47,сыр гауда,{},✅ RELEVANT
diap night,Store D,open,Latin shortcut for diapers,,,,,,,,,,,8.62,0,diap night,{},❌ NO_RESULTS
cat adult,Store C,open,Pet food intent,Корм для кошек сухой adult «CatCraft» 1500г,15.52,Корм для кошек сухой adult «NordPet» 1500г,8.21,Корм для кошек сухой adult «NordPet» 400г,8.21,Корм для кошек сухой hairball «CatCraft» 10кг,7.78,Корм для кошек сухой indoor «CatCraft» 400г,7.78,9.01,21,cat adult,{},✅ RELEVANT
dog hypo,Store C,open,Hypoallergenic dog food,Корм для собак гипоаллергенный salmon «DogForce» 12кг,7.37,Корм для собак гипоаллергенный medium «DogForce» 1500г,7.37,Корм для собак гипоаллергенный mini «DogForce» 1500г,7.37,Корм для собак гипоаллергенный salmon «DogForce» 800г,7.37,Корм для собак гипоаллергенный grain free «DogForce» 12кг,7.37,10.34,29,dog hypo,{},✅ RELEVANT
san pelle,Store F,open,Sparkling water brand,Минеральная вода citrus «San Pellegrino» 1.5л,18.49,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,7.85,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,7.85,Вино игристое sanpellegrino spritz «Mosel Craft» 1500мл,7.85,,,10.0,4,san pelle,{},✅ RELEVANT
посуд моющ,Store D,open,Abbreviated dish soap,Средство для мытья посуды для детской посуды «AllDish» 450мл,6.91,Средство для мытья посуды для детской посуды «BioClean» 450мл,6.91,Средство для мытья посуды для детской посуды «Crystal Drop» 1500мл,6.83,Средство для мытья посуды лимон «BioClean» 750мл,5.87,Средство для мытья посуды концентрат «BioClean» 1500мл,5.87,8.3,17,посуд моющ,{},✅ RELEVANT
лампа led е27,Store E,open,Mixed alphabet technical,Лампа LED E14 «Luma» 4шт,12.42,Лампа LED smart «BrightHome» 1шт,12.42,Лампа LED теплый «Volt» 2шт,12.42,Лампа LED E14 «BrightHome» 2шт,12.42,Лампа LED холодный «EcoLight» 4шт,12.42,9.23,16,лампа led е27,{},✅ RELEVANT
мешки 120л,Store D,open,Trash bags with volume,Пакеты для мусора 120л «CleanUp» 30шт,7.71,Пакеты для мусора 120л «DailyFix» 15шт,7.71,Пакеты для мусора 120л «StrongHold» 50шт,7.71,Пакеты для мусора 120л «DailyFix» 30шт,7.71,Пакеты для мусора 120л «CleanUp» 20шт,7.71,8.26,5,мешки 120л,{},✅ RELEVANT
круп греч,Store C,open,Abbreviated grocery,Крупа гречневая ядрица «Русская крупа» 15кг,11.69,Крупа гречневая ядрица «Русская крупа» 900г,11.69,Крупа гречневая organic «Русская крупа» 15кг,11.69,Крупа гречневая ядрица «Русская крупа» 1000г,11.69,Крупа гречневая organic «Русская крупа» 15кг,11.69,11.02,41,круп греч,{},✅ RELEVANT
рыба фил,Store B,open,Frozen fish block,Рыба минтай блок филе «ChefPro» 5кг,11.38,Рыба минтай блок филе «HoReCaFish» 10кг,11.38,Рыба минтай блок филе «HoReCaFish» 10кг,11.38,Рыба минтай блок филе «HoReCaFish» 5кг,11.38,Стейк лосося шоковая заморозка «AquaChef» 400г,5.92,9.26,56,рыба фил,{},✅ RELEVANT
