query,site,type,notes,top_1,top_1_score,top_2,top_2_score,top_3,top_3_score,latency_ms,total_results,normalized_query,numeric_filters,judgement
ма,Store A,open,Mobile keystroke for butter/oil,Энергетический напиток маракуйя «Volt» 500мл,63.73,Филе грудки индейки в маринаде «ProteinPro» 700г,50.81,Филе грудки индейки в маринаде «ProteinPro» 5кг,50.81,29.2,107,ма,{},✅ RELEVANT
йогурт гр,Store A,open,Partial multi-word,Йогурт греческий черника «Mediterran» 140г,203.59,Йогурт греческий натуральный «Mykonos» 900г,203.59,Йогурт греческий черника «Mediterran» 140г,203.59,19.6,63,йогурт гр,{},✅ RELEVANT
bon pa,Store A,open,Foreign brand transliteration,,,,,,,12.1,0,ищт зф,{},❌ NO_RESULTS
холс,Store B,open,Brand typed in Cyrillic,,,,,,,10.31,0,холс,{},❌ NO_RESULTS
крем для рук,Store B,open,Full phrase but should tolerate prefixes,Крем для рук антибактериальный «Atelier Skin» 50мл,50.44,Крем для рук коллаген «Atelier Skin» 50мл,50.44,Крем для рук коллаген «Herbal Line» 100мл,50.44,16.04,175,крем для рук,{},✅ RELEVANT
масло раст 10л,Store C,open,B2B volume intent,Масло подсолнечное premium «Южное» 900мл,16.71,Масло подсолнечное premium «Helio» 10000мл,16.71,Масло подсолнечное premium «Helio» 500мл,16.71,16.29,67,масло раст,"{""volume"": ""10""}",✅ RELEVANT
кар тофель,Store D,open,Broken spacing,Шоколад премиальный с карамелью «Nordic Choco» 200г,26.74,Шоколад премиальный с карамелью «Nordic Choco» 80г,26.74,,,12.61,2,кар тофель,{},✅ RELEVANT
xfq,Store E,open,Wrong keyboard layout for чай,Чай листовой чёрный «Samokat» 90г,11.77,Чай листовой матча «Ahmad» 75г,11.77,Чай листовой улун «Ahmad» 250г,11.77,11.94,78,чай,{},✅ RELEVANT
adapter usb c,Store E,open,English technical query,Мука пшеничная HoReCa 25 кг «Старый Мельник» 900г,6.2,Масло сливочное крестьянское «Северное поле» 225г,6.2,Крупа гречневая быстрого приготовления «Северные поля» 900г,6.2,23.75,319,фвфзеук гыи с,{},✅ RELEVANT
pr,Store F,open,Wine prefix (prosecco/premium),,,,,,,9.89,0,зк,{},❌ NO_RESULTS
